Counter,Season,Game_ID,PLAYER_NAME,Team,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
446132,1997,0029601171,A.C. Green,DAL,"APR 18, 1997",DAL @ HOU,L,47,4,7,0.571,0,0,0.0,1,2,0.5,6,7,13,0,4,1,2,5,9,-15.0,0
446131,1997,0029601177,A.C. Green,DAL,"APR 19, 1997",DAL vs. DEN,L,39,1,5,0.2,0,1,0.0,1,1,1.0,0,11,11,1,1,1,1,1,3,0.0,0
446130,1997,0029700014,A.C. Green,DAL,"OCT 31, 1997",DAL @ VAN,W,40,6,11,0.545,0,0,0.0,3,6,0.5,3,11,14,1,0,0,0,1,15,5.0,0
446129,1997,0029700024,A.C. Green,DAL,"NOV 01, 1997",DAL @ SEA,W,38,5,9,0.556,0,0,0.0,1,2,0.5,3,9,12,1,2,0,1,2,11,8.0,0
446128,1997,0029700037,A.C. Green,DAL,"NOV 04, 1997",DAL vs. VAN,W,41,1,8,0.125,0,0,0.0,2,2,1.0,5,8,13,0,0,0,1,1,4,2.0,0
446137,1997,0029601095,A.C. Green,DAL,"APR 08, 1997",DAL vs. POR,W,44,6,7,0.857,0,0,0.0,1,2,0.5,4,10,14,0,1,1,0,2,13,6.0,0
446138,1997,0029601083,A.C. Green,DAL,"APR 06, 1997",DAL @ LAL,L,42,2,6,0.333,0,0,0.0,0,2,0.0,6,8,14,2,3,1,2,2,4,0.0,0
446139,1997,0029601078,A.C. Green,DAL,"APR 05, 1997",DAL @ SEA,L,36,3,7,0.429,0,0,0.0,1,2,0.5,6,2,8,1,0,2,0,2,7,-21.0,0
446140,1997,0029601060,A.C. Green,DAL,"APR 03, 1997",DAL @ GSW,L,39,1,3,0.333,0,0,0.0,1,2,0.5,2,6,8,0,0,0,3,4,3,-18.0,0
446133,1997,0029601158,A.C. Green,DAL,"APR 16, 1997",DAL @ MIN,W,41,5,8,0.625,0,0,0.0,4,4,1.0,3,11,14,3,1,0,1,3,14,10.0,0
446134,1997,0029601143,A.C. Green,DAL,"APR 14, 1997",DAL vs. LAC,L,38,1,6,0.167,0,1,0.0,4,4,1.0,6,3,9,0,1,1,0,1,6,-3.0,0
446135,1997,0029601129,A.C. Green,DAL,"APR 12, 1997",DAL vs. VAN,L,44,2,2,1.0,0,0,0.0,2,4,0.5,1,3,4,0,3,0,3,2,6,-3.0,0
446144,1997,0029601006,A.C. Green,DAL,"MAR 26, 1997",DAL @ IND,L,24,1,5,0.2,0,0,0.0,3,4,0.75,2,5,7,1,0,0,0,1,5,-6.0,0
446136,1997,0029601109,A.C. Green,DAL,"APR 10, 1997",DAL vs. SEA,L,43,2,4,0.5,0,2,0.0,0,0,0.0,0,6,6,2,4,0,1,5,4,1.0,0
446143,1997,0029601025,A.C. Green,DAL,"MAR 29, 1997",DAL @ WAS,L,36,5,11,0.455,0,1,0.0,1,2,0.5,5,6,11,1,1,2,1,3,11,-14.0,0
446142,1997,0029601032,A.C. Green,DAL,"MAR 30, 1997",DAL @ CLE,L,38,4,9,0.444,0,0,0.0,2,2,1.0,2,7,9,3,2,0,1,1,10,5.0,0
446141,1997,0029601043,A.C. Green,DAL,"APR 01, 1997",DAL vs. DET,L,36,5,6,0.833,0,0,0.0,0,0,0.0,5,5,10,0,1,0,1,3,10,-21.0,0
446168,1997,0029600688,A.C. Green,DAL,"FEB 11, 1997",DAL vs. SAS,L,30,1,2,0.5,0,0,0.0,2,4,0.5,3,3,6,0,1,0,1,3,4,-17.0,0
446169,1997,0029600664,A.C. Green,DAL,"FEB 04, 1997",DAL vs. SAC,W,18,3,5,0.6,0,0,0.0,1,2,0.5,0,2,2,1,1,0,0,1,7,10.0,0
446170,1997,0029600643,A.C. Green,DAL,"FEB 01, 1997",DAL vs. UTA,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2.0,0
446171,1997,0029600626,A.C. Green,DAL,"JAN 30, 1997",DAL vs. MIN,L,33,1,4,0.25,0,0,0.0,0,0,0.0,1,4,5,1,1,0,0,2,2,1.0,0
446172,1997,0029600613,A.C. Green,DAL,"JAN 28, 1997",DAL vs. LAL,L,32,3,7,0.429,0,0,0.0,0,0,0.0,4,7,11,0,0,0,2,1,6,-10.0,0
446120,1997,0029700149,A.C. Green,DAL,"NOV 20, 1997",DAL vs. GSW,L,37,3,7,0.429,0,0,0.0,1,2,0.5,2,5,7,2,1,0,0,2,7,-17.0,0
446127,1997,0029700046,A.C. Green,DAL,"NOV 05, 1997",DAL @ CHH,L,39,3,10,0.3,0,0,0.0,2,2,1.0,5,7,12,3,0,0,0,2,8,5.0,0
